Names,Status,Error,Publications,No of Faculty Members,Mean Cites,Median Cites,Citation 5year Mean,Citation 5year Median,H-index 5year Mean,H-index 5year Median,I10 5year Mean,I10 5year Median,Mediancites:MeanCites,Citation 5y Mean:MeanCites,Citation 5y Mean:MedianCites,Citation 5y Median:MeanCites,Citation 5y Median:MedianCites,Citation 5y Median:Citation 5y Mean,Mean 5y Hindex:MeanCites,Mean 5y Hindex:MedianCites,Mean 5y Hindex:Citation 5y Mean,Mean 5y Hindex:Citation 5y MedianCites,Median 5y Hindex:MeanCites,Median 5y Hindex:MedianCites,Median 5y Hindex:Citation 5y Mean,Median 5y Hindex:Citation 5y MedianCites,Median 5y Hindex:Citation 5y H-indexMeanCites,I10 5year Mean:MeanCites,I10 5year Mean:MedianCites,I10 5y Mean:Citation 5y Mean,I10 5y Mean:Citation 5y MedianCites,I10 5y Mean:Citation 5y H-index Mean,I10 5y Mean:Citation 5y H-index Median,
mdx.ac.uk,Complete,,,340,1303,282,752,183,8,6,11,5,,,,,,,,,,,,,,,,,,,,,,
ncl.ac.uk,Complete,,,1346,3162,906,1452,520,14,11,25,12,,,,,,,,,,,,,,,,,,,,,,
newman.ac.uk,Complete,,,24,387,153,226,109,5,4,5,2,,,,,,,,,,,,,,,,,,,,,,
northumbria.ac.uk,Complete,,,888,1257,266,739,198,9,7,14,6,,,,,,,,,,,,,,,,,,,,,,
ntu.ac.uk,Complete,Difference in profiles (excel:657) (folder:658),,657,1079,218,615,161,8,6,12,4,,,,,,,,,,,,,,,,,,,,,,
brookes.ac.uk,Complete,,,381,1363,286,685,218,9,7,13,7,,,,,,,,,,,,,,,,,,,,,,
plymouth.ac.uk,Complete,,,572,1795,438,934,305,11,9,18,8,,,,,,,,,,,,,,,,,,,,,,
qmu.ac.uk,Complete,,,54,1791,382,1090,252,10,8,17,7,,,,,,,,,,,,,,,,,,,,,,
qmul.ac.uk,Complete,,,1683,3117,330,1599,255,12,7,22,6,,,,,,,,,,,,,,,,,,,,,,
qub.ac.uk,Complete,Difference in profiles (excel:1240) (folder:1238),,1240,1747,339,977,257,11,8,17,7,,,,,,,,,,,,,,,,,,,,,,
rgu.ac.uk,Complete,,,239,755,87,340,74,6,4,7,2,,,,,,,,,,,,,,,,,,,,,,
royalholloway.ac.uk,Complete,,Done,2,3819,3819,1354,1354,14,14,20,20,,,,,,,,,,,,,,,,,,,,,,
